,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
147,23,0,-1,1,4936,6,CCALPeps,8723.9134,8716.8222,0.1199870070983102,0.11999899750070997,0.08000100249929003,0.0800129929016898
148,23,0,-1,1,6170,6,CVE,,,,,,
149,23,0,-1,1,6170,6,CCALPeps,8821.761,8814.491199999999,0.0800227939609798,0.14796240935850427,0.05203759064149573,0.1199772060390202
150,23,0,-1,1,7404,6,CVE,,,,,,
151,23,0,-1,1,7404,6,CCALPeps,8431.8694,8425.4548,0.004056588861461815,0.18196400551945607,0.01803599448054392,0.1959434111385382
152,23,0,-1,1,8638,6,CVE,,,,,,
153,23,0,-1,1,8638,6,CCALPeps,8905.814600000002,8897.543000000001,0.19596161167764833,0.19597399996066786,0.004026000039332134,0.0040383883223516544
154,23,0,-1,1,9872,6,CVE,,,,,,
155,23,0,-1,1,9872,6,CCALPeps,8189.366599999999,8181.937999999999,0.002119168165175288,0.19995980805879016,4.0191941209836796e-05,0.19788083183482472
156,23,0,-1,1,11106,6,CVE,,,,,,
157,23,0,-1,1,11106,6,CCALPeps,9286.038,9278.390000000001,0.020047191041119836,0.06799480084008402,0.132005199159916,0.17995280895888016
158,23,0,-1,1,12340,6,CVE,,,,,,
159,23,0,-1,1,12340,6,CCALPeps,9267.0376,9260.0028,0.1060167967202879,0.11398499994056202,0.08601500005943799,0.09398320327971209
160,24,0,-1,,1234,6,CVE,,,,,,
161,24,0,-1,,1234,6,CCALPeps,8610.6534,8602.897400000002,0.027415513301382217,0.027415567377490374,0.1725844326225096,0.17258448669861778
162,24,0,-1,,2468,6,CVE,,,,,,
163,24,0,-1,,2468,6,CCALPeps,7962.4259999999995,7954.438,0.008427015282668508,0.008427253963299566,0.19157274603670044,0.19157298471733147
164,24,0,-1,,3702,6,CVE,,,,,,
165,24,0,-1,,3702,6,CCALPeps,10015.675599999999,10008.588800000001,0.19075187796323254,0.19076500832530405,0.009234991674695948,0.009248122036767456
166,24,0,-1,,4936,6,CVE,,,,,,
167,24,0,-1,,4936,6,CCALPeps,8996.358199999999,8989.1686,0.06074715574356804,0.060747200523248515,0.13925279947675148,0.13925284425643197
168,24,0,-1,,6170,6,CVE,,,,,,
169,24,0,-1,,6170,6,CCALPeps,8086.134,8078.9708,0.06916549432553781,0.06916580239095117,0.13083419760904885,0.1308345056744622
170,24,0,-1,,7404,6,CVE,,,,,,
171,24,0,-1,,7404,6,CCALPeps,9895.7582,9888.6418,0.07111303486143995,0.07111540156627644,0.12888459843372355,0.12888696513856007
172,24,0,-1,,8638,6,CVE,,,,,,
173,24,0,-1,,8638,6,CCALPeps,8608.4548,8601.6594,0.07683547824774038,0.07683579304150015,0.12316420695849986,0.12316452175225963
174,24,0,-1,,9872,6,CVE,,,,,,
175,24,0,-1,,9872,6,CCALPeps,9608.913,9601.6774,0.1665536526662414,0.1665543478900088,0.033445652109991196,0.0334463473337586
176,24,0,-1,,11106,6,CVE,,,,,,
177,24,0,-1,,11106,6,CCALPeps,8555.2294,8547.548200000001,0.016019718263622543,0.016019718267633206,0.1839802817323668,0.18398028173637745
178,24,0,-1,,12340,6,CVE,,,,,,
179,24,0,-1,,12340,6,CCALPeps,8390.534,8382.288,0.0934304744072075,0.09343521974484888,0.10656478025515112,0.1065695255927925
180,24,0,-1,1,1234,6,CVE,,,,,,
181,24,0,-1,1,1234,6,CCALPeps,8680.3036,8673.3274,0.010036394652000067,0.010036394652034167,0.18996360534796583,0.18996360534799994
182,24,0,-1,1,2468,6,CVE,,,,,,
183,24,0,-1,1,2468,6,CCALPeps,8743.3106,8736.1276,0.096000801919408,0.09601079492110791,0.10398920507889209,0.10399919808059199
184,24,0,-1,1,3702,6,CVE,,,,,,
185,24,0,-1,1,3702,6,CCALPeps,9102.8886,9095.833999999999,0.19196281147767633,0.19197360224001597,0.00802639775998402,0.008037188522323659
186,24,0,-1,1,4936,6,CVE,,,,,,
187,24,0,-1,1,4936,6,CCALPeps,9485.9462,9478.0144,0.12001159772013992,0.19596080392000798,0.004039196079992022,0.07998840227986008
188,24,0,-1,1,6170,6,CVE,,,,,,
189,24,0,-1,1,6170,6,CCALPeps,7954.332,7947.0556,0.04603379405299342,0.12197880352314852,0.07802119647685149,0.15396620594700658
190,24,0,-1,1,7404,6,CVE,,,,,,
191,24,0,-1,1,7404,6,CCALPeps,9698.839,9691.5416,0.004041393420701917,0.02999400259974009,0.1700059974002599,0.1959586065792981
192,24,0,-1,1,8638,6,CVE,,,,,,
193,24,0,-1,1,8638,6,CCALPeps,8634.652399999999,8627.828400000002,2.0001999000179954e-05,3.918824235964566e-05,0.19996081175764036,0.1999799980009998
194,24,0,-1,1,9872,6,CVE,,,,,,
195,24,0,-1,1,9872,6,CCALPeps,8351.6606,8344.307400000002,0.1759684064390281,0.17596840643902817,0.024031593560971842,0.024031593560971887
196,24,0,-1,1,11106,6,CVE,,,,,,
197,24,0,-1,1,11106,6,CCALPeps,8992.8596,8984.951599999999,0.15797280783850418,0.15798859910049395,0.04201140089950606,0.04202719216149581
198,24,0,-1,1,12340,6,CVE,,,,,,
199,24,0,-1,1,12340,6,CCALPeps,8831.9554,8824.0918,0.136000600379718,0.1879584069592241,0.012041593040775922,0.06399939962028198
