,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
140,11,0,-1,8638,CCALPeps,3896.6254,3891.6664000000005,0.12200634799053992,0.1221424840001251,0.0778575159998749,0.0779936520094601,,
141,11,0,-1,9872,CVE,22.194,21.5734,0.08114558991526985,0.08114558991526985,0.11885441008473015,0.11885441008473015,,
142,11,0,-1,9872,CCVE,1678.3121999999998,1559.2867999999999,0.08093504328232017,0.08116951613808837,0.11883048386191164,0.11906495671767985,,
143,11,0,-1,9872,CCALPeps,3823.6261999999997,3817.0994,0.08094242967873695,0.0811764403266839,0.11882355967331608,0.11905757032126305,,
144,11,0,-1,11106,CVE,21.2438,20.613599999999998,0.0431018101417964,0.0431018101417964,0.1568981898582036,0.1568981898582036,,
145,11,0,-1,11106,CCVE,,,,,,,,
146,11,0,-1,11106,CCALPeps,5090.6202,5085.682,0.04318784662790435,0.043187869831267864,0.15681213016873213,0.15681215337209567,,
147,11,0,-1,12340,CVE,20.3846,19.7802,0.024048419356427,0.024048419356427,0.175951580643573,0.175951580643573,,
148,11,0,-1,12340,CCVE,,,,,,,,
149,11,0,-1,12340,CCALPeps,3754.8736000000004,3750.0700000000006,0.024059118413447354,0.024059133301300547,0.17594086669869946,0.17594088158655266,,
150,13,0,-1,1234,CVE,107.6138,104.43320000000001,0.09929855823733591,0.09929855823733591,0.05026157447387514,0.05026157447387514,0.050439867288788964,0.050439867288788964
151,13,0,-1,1234,CCVE,2655.9978,2523.136,0.09929855823733591,0.09929855823733591,0.05026157447387514,0.05026157447387514,0.050439867288788964,0.050439867288788964
152,13,0,-1,1234,CCALPeps,7503.669200000001,7498.1174,0.09928307369209513,0.09928325324069154,0.050280969594509006,0.05028143189170944,0.05043549441619536,0.05043577716479951
153,13,0,-1,2468,CVE,105.2046,104.5598,0.09072930219484134,0.09072930219484134,0.07478116791922533,0.07478116791922533,0.03448952988593335,0.03448952988593335
154,13,0,-1,2468,CCVE,3108.0538,2944.4714,0.09072930219484134,0.09072930219484134,0.07478116791922532,0.07478116791922532,0.03448952988593336,0.03448952988593336
155,13,0,-1,2468,CCALPeps,9078.949,9073.151600000001,0.09072210641298822,0.09072210641298835,0.07477325156886974,0.07477325156886987,0.03450464201814187,0.03450464201814193
156,13,0,-1,3702,CVE,113.50120000000001,112.89679999999998,0.16506407137869827,0.16506407137869827,0.010224496319109348,0.010224496319109348,0.02471143230219238,0.02471143230219238
157,13,0,-1,3702,CCVE,2948.737,2794.8384,0.16506407137869827,0.16506407137869827,0.010224496319109346,0.010224496319109346,0.02471143230219238,0.02471143230219238
158,13,0,-1,3702,CCALPeps,8181.5316,8175.484599999999,0.16500560726472807,0.16500852347919243,0.01024133828139616,0.010241371977315093,0.0247501382394114,0.02475302075795683
159,13,0,-1,4936,CVE,107.96959999999999,107.3884,0.12747410179533755,0.12747410179533755,0.02286762283622699,0.02286762283622699,0.04965827536843544,0.04965827536843544
160,13,0,-1,4936,CCVE,inf,inf,,,,,,
161,13,0,-1,4936,CCALPeps,9882.615,9876.6006,0.11535900825444045,0.14495326291902436,0.020154991725584662,0.02682395894763671,0.028222778133338965,0.06448600001997487
162,13,0,-1,6170,CVE,107.8412,107.20899999999999,0.11165372744052456,0.11165372744052456,0.0059340732670196995,0.0059340732670196995,0.08241219929245573,0.08241219929245573
163,13,0,-1,6170,CCVE,3572.5214,3408.8856,0.11165372744052456,0.11165372744052456,0.0059340732670196995,0.0059340732670196995,0.08241219929245576,0.08241219929245576
164,13,0,-1,6170,CCALPeps,9193.175200000001,9187.5992,0.11161788160598363,0.11162034298485166,0.005951880085167284,0.005951924211742935,0.08242773280340544,0.08243023830884907
165,13,0,-1,7404,CVE,100.44300000000001,99.81880000000001,0.02569218366590001,0.02569218366590001,0.023876197926002922,0.023876197926002922,0.15043161840809705,0.15043161840809705
166,13,0,-1,7404,CCVE,inf,inf,,,,,,
167,13,0,-1,7404,CCALPeps,8562.598600000001,8556.7726,0.025704145376631238,0.025704341222270027,0.023910422050962752,0.023925663111736464,0.15037019151163217,0.1503852367267673
168,13,0,-1,8638,CVE,120.58519999999999,119.8366,0.035485252439020606,0.035485252439020606,0.03830500297225107,0.03830500297225107,0.12620974458872833,0.12620974458872833
169,13,0,-1,8638,CCVE,inf,inf,,,,,,
